,Unnamed: 0.1,Unnamed: 0,projectID,projectAcronym,organisationID,vatNumber,name,shortName,SME,activityType,street,postCode,city,country,nutsCode,geolocation,organizationURL,contactForm,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation,active,diffContribution,continent,taxonomyObjective,biggest_key
484,7613,25331,101070381,PILLAR-Robots,999997930,FR40180089013,centre national de la recherche scientifique cnrs,CNRS,False,REC,RUE MICHEL ANGE 3,75794,Paris,FR,FR101,"48.84755265,2.26404020346787",http://www.cnrs.fr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999997930/101070381,2023-04-05 13:38:34,1905572,3,thirdParty,0.0,30573.1,30573.1,False,,0.0,EU,"artificial intelligence,robotics",advanced materials
485,7642,25360,101070114,CircEl-Paper,999984059,DE129515865,fraunhofer gesellschaft zur forderung der angewandten forschung ev,Fraunhofer,False,REC,HANSASTRASSE 27C,80686,Munchen,DE,DE212,"48.1322664,11.5296222",http://www.fraunhofer.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999984059/101070114,2022-08-26 02:20:17,1905912,1,coordinator,885488.5,885488.5,885488.75,False,,0.25,EU,"advanced materials,circular industries",advanced materials
486,7685,25403,101136078,Fediversity,954538395,,stichting nlnet,NLNET,False,OTH,SCIENCE PARK 400,1098XH,Amsterdam,NL,NL329,"52.3563684,4.9557631",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/954538395/101136078,2024-01-08 20:27:18,2967505,1,coordinator,682500.0,682500.0,682500.0,False,,0.0,EU,"next generation internet,blockchain",internet
487,7694,25412,101093110,EXTRACT,999997930,FR40180089013,centre national de la recherche scientifique cnrs,CNRS,False,REC,RUE MICHEL ANGE 3,75794,Paris,FR,FR101,"48.84755265,2.26404020346787",http://www.cnrs.fr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999997930/101093110,2023-03-10 20:10:47,1905572,4,thirdParty,0.0,97500.0,97500.0,False,,0.0,EU,"advanced computing and big data,artificial intelligence,5g,space including earth observation",advanced materials
488,7714,25506,101138842,ALABAMA,996541529,,sintef,SINTEF RM,False,REC,"BYGNING 100, RAUFOSS INDUSTRIPARK",2830,Raufoss,NO,NO020,"60.5000209,9.0999715",https://www.sintef.no/manufacturing,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/996541529/101138842,2024-01-08 20:33:17,1914650,1,coordinator,1245000.0,1200000.0,0.0,False,,,EU,"manufacturing technologies,advanced materials,robotics,advanced computing and big data,low carbon and clean industries,space including earth observation",sustainability
489,7719,25511,101138842,ALABAMA,999984059,DE129515865,fraunhofer gesellschaft zur forderung der angewandten forschung ev,Fraunhofer,False,REC,HANSASTRASSE 27C,80686,Munchen,DE,DE212,"48.1322664,11.5296222",http://www.fraunhofer.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999984059/101138842,2024-01-08 20:33:17,1905912,2,participant,1176000.0,1176000.0,0.0,False,,,EU,"manufacturing technologies,advanced materials,robotics,advanced computing and big data,low carbon and clean industries,space including earth observation",advanced materials
490,7728,25529,101138144,RESQTOOL,999984059,DE129515865,fraunhofer gesellschaft zur forderung der angewandten forschung ev,Fraunhofer,False,REC,HANSASTRASSE 27C,80686,Munchen,DE,DE212,"48.1322664,11.5296222",http://www.fraunhofer.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999984059/101138144,2024-01-18 14:08:49,1905912,3,participant,592568.75,592568.75,592568.75,False,,0.0,EU,"circular industries,low carbon and clean industries,advanced materials",advanced materials
491,7763,25577,101135884,SEISMEC,999971934,FR01383470937,thales,THALES SIX GTS France,False,PRC,AVENUE DES LOUVRESSES 4,92230,Gennevilliers,FR,FR105,"48.9409357,2.3063114",http://www.thalesgroup.com,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999971934/101135884,2024-01-08 20:27:21,1905995,14,participant,468337.5,468337.5,468337.5,False,,0.0,EU,"manufacturing technologies,artificial intelligence,robotics,advanced computing and big data",space
492,7797,25635,101093008,M3NIR,999981149,BE0425260668,interuniversitair micro-electronica centrum,IMEC,False,REC,KAPELDREEF 75,3001,Leuven,BE,BE242,"50.866704049999996,4.677742878392847",http://www.imec.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999981149/101093008,2023-01-17 16:12:36,1905930,1,coordinator,1129826.0,1129826.0,1129826.25,False,,0.25,EU,"emerging enabling technologies,advanced materials,low carbon and clean industries,space including earth observation,5g",advanced materials
493,7817,25669,101138367,PESCO-UP,932760440,FI26473754,teknologian tutkimuskeskus vtt oy,VTT,False,REC,TEKNIIKANTIE 21,2150,Espoo,FI,FI1B1,"60.2051454,24.6569676",https://www.vtt.fi,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/932760440/101138367,2024-01-08 20:32:07,2104951,1,coordinator,2894180.03,2894180.03,0.0,False,,,EU,"advanced materials,manufacturing technologies,circular industries,advanced computing and big data",sustainability
